Guillermo Díaz
Gummo Marx
Gus Schilling
Gus Trikonis
Hal DeWindt
Hal Linden
Hank Azaria
Hank Henry
Holt McCallany
Holter Graham
Howard Maurer
Howard Morris
Howard Morton
Howard Ryshpan
Howard Stern
Howard Storm
James Madio
James Marcus
James Marshall
James Maslow
James Murray
James Newman
James Otis
James Rennie
James Russo
James Victor
James Waterston
James Westerfield
James Whitmore
James Whitmore Jr.
Jamie Elman
Jamie Gillis
Jamie Hector
Jamison Newlander
Jan Leighton
Jan Merlin
Jonathan Frid
Jonathan Goldsmith
Jonathan Harris
Jonathan Judge-Russo
Jonathan Katz
Jonathan Keltz
Jonathan Penner
Jonathan Roumie
Jordan Charney
Jordan Peele
Jorge Pallo
Jose Perez
Joseph Badalucco Jr.
Joseph Bernard
Joseph Bologna
Joseph Cali
Joseph Campanella
Joseph Cawthorn
Joseph Jefferson
Joseph Perrino
Joseph R. Gannascoli
Joseph Rigano
Karl Swenson
Kirk Acevedo
Kirk Baltz
Kit Culkin
Lloyd Gough
Lloyd Kaufman
Lloyd Richards
Mousa Kraish
Neal Hart
Neal Huff
Neal Jones
Necro
Rodd Redwing
Rodman Flender
Roger C. Carmel
Roger Hill
Roger Pryor
Rohan Chand
Rolfe Sedan
Rupert Crosse
Ryan Malaty
Ryan Serhant
Ted Beniades
Ted Demme
Ted Donaldson
Ted Sharks
Ted de Corsia
Thomas Beck
Thomas Calabro
Thomas Commerford
Thomas D. Rice
Thomas Gomez
Thomas Hardie Chalmers
Thomas Jackson
Thomas McDonell
Thomas S. Hamblin
Thomas Wignell
Harley Cross
Harold Guskin
Harold Hecht
Harold Huber
Harold Hunter
Harold J. Stone
Harold Lockwood
Harold Perrineau
Harpo Marx
Harrison Chad
Harry Bowen
Harry Bugin
Harry Corson Clarke
Harry De Vere
Harry Dunkinson
Harry E. Lang
Harry Guardino
Harry Hurwitz
Harry Landers
Harry Pilcer
Harry Semels
Harvey Fierstein
Harvey Keitel
Harvey Lembeck
Harvey Sid Fisher
Hassan Johnson
Hayden Rorke
Haywood Nelson
Heath Ledger
Herb Edelman
Herbie Faye
Hermann Braun
Herschel Bernardi
Heywood Hale Broun
Ivan Dixon
J. Carrol Naish
J. E. Freeman
J. Edward Bromberg
J. Teddy Garces
JD Cullum
Patrick Tull
Paul Bartel
Paul Ben-Victor
Paul Bryar
Paul Carr
Paul Christie
Paul Dano
Paul Fitzgerald
Paul Giamatti
Paul Gilbert
Paul Herlinger
Paul Herman
Paul Kelly
Paul Kent
Paul Linke
Paul Marion
Paul McAllister
Paul Picerni
Paul Provenza
Paul Reed
Paul Reiser
Paul Scheer
Paul Sorvino
Paul Stewart
Paul Valentine
Paul Winchell
Percy Helton
Perri Pierre
Perry Lopez
Pete Correale
Pete Smith
Peter Berg
Peter Billingsley
Peter Brown
Peter Coyote
Peter DeLuise
Peter Facinelli
Peter Falk
Peter Fernandez
Peter Fonda
Peter Friedman
Peter Grosz
Peter Hermann
Peter Hobbs
Peter Jurasik
Peter Marc Jacobson
Peter Pagan
Peter Parros
Peter Porte
Peter Riegert
Peter Spears
Peter Stickles
Peter Vack
Peter Van Norden
Peter White
Phil Leeds
Phil Regan
Philip Anthony-Rodriguez
Philip Charles MacKenzie
